combo_idx,HEAD_GOAL_W,ORDER_W_SCALE,COVERAGE_W,SPEED_W,SENSOR_BCE_W,GOAL_DISTANCE_WEIGHT,head_dist_h1_at_tau,mean_hotspot_coverage_dist,high_info_dwell_ratio,high_info_dwell_area_norm,low_info_idle_rate,sensor_f1_high_info,split_jump_metric,head_success_rate,mean_cycle_time_sec,mean_iterations_used,composite_score
0,5.0,0.9,0.3,0.35,0.45,0.7,0.3572077490389347,0.1379605409068366,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.28464366515837103,0.03696261192089878,0.0,13.685167133808136,500.0,0.6586430123974922
1,5.0,0.9,0.3,0.35,0.45,1.0,0.3572077490389347,0.1379605409068366,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.28464366515837103,0.03696261192089878,0.0,13.937662959098816,500.0,0.6586430123974922
2,5.0,0.9,0.3,0.35,0.7,0.7,0.2872783839702606,0.25195901561528444,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03623707027873024,0.25,13.93326598405838,500.0,0.5268397105151271
3,5.0,0.9,0.3,0.35,0.7,1.0,0.2872783839702606,0.25195901561528444,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03623707027873024,0.25,14.231212198734283,500.0,0.5268397105151271
4,5.0,0.9,0.3,0.55,0.45,0.7,0.3572070896625519,0.13796035867805284,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.28464366515837103,0.03696269483771175,0.0,14.122577488422394,500.0,0.6586441692428336
5,5.0,0.9,0.3,0.55,0.45,1.0,0.3572070896625519,0.13796035867805284,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.28464366515837103,0.03696269483771175,0.0,14.264252245426178,500.0,0.6586441692428336
6,5.0,0.9,0.3,0.55,0.7,0.7,0.28727887757122517,0.2519593210890889,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.036237060092389584,0.25,14.027262032032013,500.0,0.5268383697047496
7,5.0,0.9,0.3,0.55,0.7,1.0,0.28727887757122517,0.2519593210890889,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.036237060092389584,0.25,14.140662968158722,500.0,0.5268383697047496
8,5.0,0.9,0.55,0.35,0.45,0.7,0.35661356896162033,0.137754847916464,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036891417956212536,0.0,14.068856060504913,500.0,0.6595001160210262
9,5.0,0.9,0.55,0.35,0.45,1.0,0.35661356896162033,0.137754847916464,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036891417956212536,0.0,14.2739759683609,500.0,0.6595001160210262
10,5.0,0.9,0.55,0.35,0.7,0.7,0.28676144406199455,0.25143270567059517,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.036064192187041044,0.25,14.08165991306305,500.0,0.5293423615894766
11,5.0,0.9,0.55,0.35,0.7,1.0,0.28676144406199455,0.25143270567059517,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.036064192187041044,0.25,13.89779794216156,500.0,0.5293423615894766
12,5.0,0.9,0.55,0.55,0.45,0.7,0.3566131927073002,0.1377546532700459,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036891408322844654,0.0,14.091199278831482,500.0,0.6595011564624098
13,5.0,0.9,0.55,0.55,0.45,1.0,0.3566131927073002,0.1377546532700459,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036891408322844654,0.0,13.589293837547302,500.0,0.6595011564624098
14,5.0,0.9,0.55,0.55,0.7,0.7,0.2867618463933468,0.251433027908206,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03606397187104449,0.25,10.669576466083527,500.0,0.5293420750143629
15,5.0,0.9,0.55,0.55,0.7,1.0,0.2867618463933468,0.251433027908206,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03606397187104449,0.25,9.745269238948822,500.0,0.5293420750143629
16,5.0,1.2,0.3,0.35,0.45,0.7,0.37802522629499435,0.16695325247322518,0.3750000037252903,1.2499999627470986,0.5274621212121212,0.35,0.04140710426145233,0.0,10.035342991352081,500.0,0.6225013633141111
17,5.0,1.2,0.3,0.35,0.45,1.0,0.37802522629499435,0.16695325247322518,0.3750000037252903,1.2499999627470986,0.5274621212121212,0.35,0.04140710426145233,0.0,10.84061849117279,500.0,0.6225013633141111
18,5.0,1.2,0.3,0.35,0.7,0.7,0.2781648263335228,0.2444763562331597,0.11250000074505806,0.3749999875823662,0.3666666666666667,0.11538461538461538,0.03562249394599348,0.25,8.801057696342468,500.0,0.5658136525338471
19,5.0,1.2,0.3,0.35,0.7,1.0,0.2781648263335228,0.2444763562331597,0.11250000074505806,0.3749999875823662,0.3666666666666667,0.11538461538461538,0.03562249394599348,0.25,8.28079092502594,500.0,0.5658136525338471
