combo_idx,HEAD_GOAL_W,ORDER_W_SCALE,COVERAGE_W,SPEED_W,SENSOR_BCE_W,GOAL_DISTANCE_WEIGHT,head_dist_h1_at_tau,mean_hotspot_coverage_dist,high_info_dwell_ratio,high_info_dwell_area_norm,low_info_idle_rate,sensor_f1_high_info,split_jump_metric,head_success_rate,mean_cycle_time_sec,mean_iterations_used,composite_score
2,4.5,0.9,0.45,0.55,0.45,0.6,0.29125092923641205,0.2534165205433965,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.035678837331943214,0.25,15.948003351688385,500.0,0.4983227537644578
3,4.5,0.9,0.45,0.55,0.45,0.8,0.29125092923641205,0.2534165205433965,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.035678837331943214,0.25,15.759689450263977,500.0,0.4983227537644578
16,5.5,0.9,0.45,0.45,0.45,0.6,0.38120338693261147,0.1722053210251033,0.3749999962747097,1.2499999379118307,0.5104166666666666,0.34404761904761905,0.042132459580898285,0.0,14.9046830534935,500.0,0.44110161757191685
17,5.5,0.9,0.45,0.45,0.45,0.8,0.38120338693261147,0.1722053210251033,0.3749999962747097,1.2499999379118307,0.5104166666666666,0.34404761904761905,0.042132459580898285,0.0,13.828109443187714,500.0,0.44110161757191685
18,5.5,0.9,0.45,0.55,0.45,0.6,0.3812035098671913,0.1722051833445827,0.3749999962747097,1.2499999379118307,0.5104166666666666,0.34404761904761905,0.04213257349329069,0.0,14.542090952396393,500.0,0.4410997092456521
19,5.5,0.9,0.45,0.55,0.45,0.8,0.3812035098671913,0.1722051833445827,0.3749999962747097,1.2499999379118307,0.5104166666666666,0.34404761904761905,0.04213257349329069,0.0,15.349839448928833,500.0,0.4410997092456521
22,5.5,0.9,0.55,0.55,0.45,0.6,0.38111046701669693,0.17203180165961385,0.3749999962747097,1.2499999379118307,0.5104166666666666,0.34404761904761905,0.04217655386310071,0.0,15.488614797592163,500.0,0.44103819031660396
23,5.5,0.9,0.55,0.55,0.45,0.8,0.38111046701669693,0.17203180165961385,0.3749999962747097,1.2499999379118307,0.5104166666666666,0.34404761904761905,0.04217655386310071,0.0,15.54742181301117,500.0,0.44103819031660396
20,5.5,0.9,0.55,0.45,0.45,0.6,0.38111399859189987,0.17203335370868444,0.3749999962747097,1.2499999379118307,0.5104166666666666,0.34404761904761905,0.04217610359773971,0.0,15.05271053314209,500.0,0.44103062702951523
21,5.5,0.9,0.55,0.45,0.45,0.8,0.38111399859189987,0.17203335370868444,0.3749999962747097,1.2499999379118307,0.5104166666666666,0.34404761904761905,0.04217610359773971,0.0,15.612381219863892,500.0,0.44103062702951523
